Year,Month,EPU-3C,EPU-News
1989,4,108.8630599975586,92.37982940673828
1989,5,87.8160400390625,83.75286865234375
1989,6,94.83973693847656,95.78630828857422
1989,7,84.5699234008789,78.256591796875
1989,8,95.860382080078125,83.10930633544922
1989,9,90.91819763183594,74.69548034667969
1989,10,91.59668731689453,76.449554443359375
1989,11,107.84912872314453,105.0474853515625
1989,12,107.09523010253906,103.79668426513672
1990,1,100.35917663574219,92.32149505615234
1990,2,89.59095764160156,110.44627380371094
1990,3,86.06529235839844,104.46141052246094
1990,4,76.66169738769531,88.44817352294922
1990,5,118.5379409790039,97.38793182373047
1990,6,120.52674102783203,100.86434173583984
1990,7,111.56961822509766,86.2801742553711
1990,8,142.16525268554688,139.32269287109375
1990,9,157.69529724121094,165.93844604492188
1990,10,141.11953735351562,137.6742401123047
1990,11,145.2909393310547,152.4486083984375
1990,12,134.48512268066406,134.06153869628906
1991,1,175.65859985351562,204.0105438232422
1991,2,115.21344757080078,106.51805877685547
1991,3,116.02570343017578,107.93748474121094
1991,4,107.2416763305664,93.01464080810547
1991,5,94.75868225097656,82.1478271484375
1991,6,96.93760681152344,85.919036865234375
1991,7,93.53157806396484,80.64899444580078
1991,8,100.59554290771484,99.12208557128906
1991,9,117.04780578613281,127.29444122314453
1991,10,105.54141998291016,108.12096405029297
1991,11,122.24915313720703,140.61236572265625
1991,12,139.99911499023438,171.01097106933594
1992,1,109.20084381103516,116.36485290527344
1992,2,125.5367660522461,154.596923828125
1992,3,91.70582580566406,96.82842254638672
1992,4,87.5822982788086,89.85423278808594
1992,5,96.87494659423828,78.68047332763672
1992,6,122.34916687011719,122.29350280761719
1992,7,120.91493225097656,119.6131820678711
1992,8,115.90751647949219,122.40711975097656
1992,9,127.01962280273438,141.4432373046875
1992,10,138.52178955078125,161.2542266845703
1992,11,118.77686309814453,108.15007019042969
1992,12,106.86791229248047,87.8720932006836
1993,1,102.53032684326172,83.46498107910156
1993,2,119.96253204345703,106.97611999511719
1993,3,121.55786895751953,109.79681396484375
1993,4,109.2568359375,89.651123046875
1993,5,133.58966064453125,133.50575256347656
1993,6,126.04876708984375,120.68006134033203
1993,7,117.58451080322266,106.50299072265625
1993,8,106.03236389160156,115.576171875
1993,9,106.27468872070312,116.02729797363281
1993,10,84.4876937866211,78.82251739501953
1993,11,84.556610107421875,89.25749969482422
1993,12,77.52033233642578,77.27201843261719
1994,1,80.00980377197266,82.29280090332031
1994,2,94.59269714355469,96.1456527709961
1994,3,87.006317138671875,83.22688293457031
1994,4,100.41636657714844,106.35444641113281
1994,5,96.52730560302734,94.5038833618164
1994,6,92.3797836303711,87.4688949584961
1994,7,85.3709487915039,75.43205261230469
1994,8,92.82605743408203,88.99729919433594
1994,9,90.6300277709961,85.29350280761719
1994,10,76.4990005493164,61.68622589111328
1994,11,91.77528381347656,94.6872787475586
1994,12,91.79500579833984,94.76318359375
1995,1,107.95494079589844,122.4063720703125
1995,2,86.32306671142578,100.51555633544922
1995,3,78.09661865234375,86.48616790771484
1995,4,65.99178314208984,65.99556732177734
1995,5,74.702362060546875,67.30165100097656
1995,6,79.6735610961914,75.8233871459961
1995,7,83.03810119628906,81.65293884277344
1995,8,66.763763427734375,55.88801193237305
1995,9,75.22517395019531,70.38091278076172
1995,10,80.62604522705078,79.905517578125
1995,11,90.53282165527344,101.20011901855469
1995,12,84.34722900390625,90.67060089111328
1996,1,90.663177490234375,101.5782241821289
1996,2,75.834625244140625,82.021392822265625
1996,3,72.652435302734375,76.630462646484375
1996,4,69.1906509399414,70.88105773925781
1996,5,69.42778778076172,62.10961151123047
1996,6,81.17970275878906,82.24293518066406
1996,7,73.61083221435547,69.69367218017578
1996,8,83.65825653076172,88.64742279052734
1996,9,77.97563171386719,78.98076629638672
1996,10,64.195953369140625,55.67024612426758
1996,11,74.20866394042969,74.3711929321289
1996,12,69.97416687011719,67.17334747314453
1997,1,74.96830749511719,75.44551086425781
1997,2,87.6972885131836,92.08613586425781
1997,3,75.01231384277344,70.45269012451172
1997,4,75.45429229736328,71.10443115234375
1997,5,73.4581298828125,75.86949920654297
1997,6,78.48297882080078,84.47803497314453
1997,7,73.894866943359375,76.7061996459961
1997,8,63.809879302978516,58.91501998901367
1997,9,61.15956115722656,54.414302825927734
1997,10,83.65215301513672,92.92955780029297
1997,11,78.393890380859375,85.98280334472656
1997,12,88.7444839477539,103.69952392578125
1998,1,91.0406265258789,107.9537582397461
1998,2,88.8194351196289,101.14946746826172
1998,3,78.38832092285156,83.34761810302734
1998,4,73.20014190673828,74.45728302001953
1998,5,75.85511016845703,80.12715148925781
1998,6,76.286346435546875,80.88773345947266
1998,7,88.17700958251953,101.41851806640625
1998,8,101.4080810546875,130.467041015625
1998,9,123.96147155761719,169.0372772216797
1998,10,109.88134765625,145.0232391357422
1998,11,92.946319580078125,113.50474548339844
1998,12,91.40618133544922,110.89498138427734
1999,1,98.6450424194336,123.32284545898438
1999,2,82.38359069824219,94.99628448486328
1999,3,66.00053405761719,67.02757263183594
1999,4,67.53295135498047,69.78789520263672
1999,5,67.088531494140625,64.776458740234375
1999,6,73.01111602783203,74.925628662109375
1999,7,79.81311798095703,86.529937744140625
1999,8,69.55317687988281,77.02532958984375
1999,9,69.81623077392578,77.49834442138672
1999,10,62.7115478515625,65.33708190917969
1999,11,82.06382751464844,76.31718444824219
1999,12,83.8094711303711,79.32242584228516
2000,1,89.2015380859375,88.98869323730469
2000,2,77.60139465332031,73.36519622802734
2000,3,77.548309326171875,73.29862213134766
2000,4,76.0592269897461,70.59974670410156
2000,5,97.9862060546875,118.1432113647461
2000,6,92.96501922607422,109.584228515625
2000,7,79.44697570800781,86.658355712890625
2000,8,66.58133697509766,58.90645980834961
2000,9,75.14165496826172,73.550994873046875
2000,10,84.66172790527344,89.9134521484375
2000,11,125.06754302978516,166.18405151367188
2000,12,115.26872253417969,149.44851684570312
2001,1,111.4160385131836,142.61412048339844
2001,2,110.9178466796875,128.62564086914062
2001,3,116.02694702148438,137.37417602539062
2001,4,122.67340850830078,148.7580108642578
2001,5,100.42901611328125,117.4362564086914
2001,6,86.39027404785156,93.46123504638672
2001,7,102.13185119628906,120.29459381103516
2001,8,84.28912353515625,95.39997100830078
2001,9,188.0594940185547,272.7644958496094
2001,10,173.14337158203125,247.29428100585938
2001,11,130.5756378173828,172.48883056640625
2001,12,117.23658752441406,149.7089385986328
2002,1,116.83745574951172,148.44973754882812
2002,2,87.6006851196289,104.60943603515625
2002,3,83.4404296875,97.51299285888672
2002,4,88.56610107421875,106.1646499633789
2002,5,86.298858642578125,98.64002990722656
2002,6,93.61022186279297,111.14994812011719
2002,7,110.30516815185547,139.6611328125
2002,8,116.01482391357422,136.1190643310547
2002,9,124.04314422607422,149.8481903076172
2002,10,111.88597106933594,128.97361755371094
2002,11,123.28437805175781,162.22140502929688
2002,12,122.22167205810547,160.4113311767578
2003,1,138.95339965820312,185.59161376953125
2003,2,126.72773742675781,161.759765625
2003,3,163.5238037109375,224.64720153808594
2003,4,135.62754821777344,176.57984924316406
2003,5,102.61981964111328,122.30982208251953
2003,6,95.827301025390625,110.69554901123047
2003,7,91.74150848388672,103.74824523925781
2003,8,95.67181396484375,91.71417236328125
2003,9,106.11576080322266,109.553955078125
2003,10,88.04378509521484,78.58598327636719
2003,11,84.9182357788086,78.69609069824219
2003,12,91.73699188232422,90.343597412109375
2004,1,96.56645965576172,88.277587890625
2004,2,99.4572982788086,88.90148162841797
2004,3,96.78946685791016,84.330902099609375
2004,4,94.11528015136719,79.72691345214844
2004,5,92.32118225097656,97.2080307006836
2004,6,85.345977783203125,85.27448272705078
2004,7,87.544189453125,88.95649719238281
2004,8,85.92586517333984,84.44986724853516
2004,9,100.01188659667969,108.50958251953125
2004,10,105.69511413574219,118.34144592285156
2004,11,95.24085235595703,96.695770263671875
2004,12,77.596435546875,66.53287506103516
2005,1,73.9184799194336,66.73433685302734
2005,2,58.950050354003906,51.69568634033203
2005,3,57.55795669555664,49.30863571166992
2005,4,74.56597137451172,78.39586639404297
2005,5,70.50811767578125,75.09077453613281
2005,6,74.56132507324219,82.005584716796875
2005,7,68.71644592285156,71.939544677734375
2005,8,64.39585876464844,59.61723327636719
2005,9,91.40605926513672,105.76985931396484
2005,10,76.16368103027344,79.82999420166016
2005,11,72.21598815917969,60.06785202026367
2005,12,78.0489273071289,70.0267562866211
2006,1,79.17534637451172,75.07923889160156
2006,2,72.6929931640625,69.49174499511719
2006,3,64.22933197021484,55.00807571411133
2006,4,79.76152801513672,81.65171813964844
2006,5,70.83625793457031,67.8097915649414
2006,6,79.49433135986328,82.5862808227539
2006,7,80.56230926513672,84.474456787109375
2006,8,72.76996612548828,71.51509857177734
2006,9,67.067535400390625,61.751346588134766
2006,10,63.4644660949707,55.62950897216797
2006,11,62.51984405517578,49.59912872314453
2006,12,63.37040710449219,51.039039611816406
2007,1,79.01966857910156,74.51002502441406
2007,2,57.20262145996094,50.86001968383789
2007,3,69.88729095458984,72.52986145019531
2007,4,62.50170135498047,59.84138870239258
2007,5,74.68186950683594,71.13732147216797
2007,6,73.296539306640625,68.75923919677734
2007,7,59.323978424072266,44.782752990722656
2007,8,89.10404968261719,90.007293701171875
2007,9,100.74437713623047,109.89265441894531
2007,10,89.45452880859375,90.64006805419922
2007,11,102.44110870361328,106.566162109375
2007,12,108.5438003540039,116.99089813232422
2008,1,144.98472595214844,177.04220581054688
2008,2,108.10469055175781,108.31473541259766
2008,3,111.71235656738281,114.47457122802734
2008,4,102.19690704345703,98.19770812988281
2008,5,94.2840347290039,88.673431396484375
2008,6,94.55675506591797,89.13687896728516
2008,7,109.78897094726562,115.10272216796875
2008,8,95.870758056640625,81.1630859375
2008,9,187.7403106689453,238.171875
2008,10,189.9172821044922,241.77227783203125
2008,11,148.8425750732422,162.71337890625
2008,12,145.9946746826172,157.82867431640625
2009,1,171.94622802734375,184.8178253173828
2009,2,187.11402893066406,202.54795837402344
2009,3,166.90338134765625,167.99122619628906
2009,4,131.8561248779297,107.92725372314453
2009,5,138.80584716796875,125.94462585449219
2009,6,130.93348693847656,112.47264099121094
2009,7,126.28215026855469,104.35511016845703
2009,8,152.5500946044922,111.1743392944336
2009,9,145.44436645507812,99.00963592529297
2009,10,138.13055419921875,86.24175262451172
2009,11,116.16231536865234,99.779266357421875
2009,12,121.22102355957031,108.3960952758789
2010,1,149.35928344726562,136.86386108398438
2010,2,132.79864501953125,116.72154998779297
2010,3,137.4700164794922,124.6875
2010,4,137.077392578125,123.70220184326172
2010,5,151.10342407226562,147.76324462890625
2010,6,140.56915283203125,129.73219299316406
2010,7,180.0144500732422,196.94723510742188
2010,8,147.30909729003906,127.2281723022461
2010,9,182.14669799804688,186.74122619628906
2010,10,163.42491149902344,154.76275634765625
2010,11,179.1355743408203,175.0442657470703
2010,12,165.40785217285156,151.5533447265625
2011,1,142.1704559326172,111.49281311035156
2011,2,145.50889587402344,104.56236267089844
2011,3,174.3543701171875,153.8417205810547
2011,4,157.4958953857422,124.8465805053711
2011,5,126.19207000732422,84.549163818359375
2011,6,158.088623046875,139.03790283203125
2011,7,197.91635131835938,207.16030883789062
2011,8,245.12672424316406,283.66558837890625
2011,9,204.62979125976562,214.4261016845703
2011,10,159.7395782470703,137.83924865722656
2011,11,166.33901977539062,143.7145538330078
2011,12,189.3983612060547,183.088623046875
2012,1,178.28652954101562,154.41802978515625
2012,2,149.6370849609375,119.43543243408203
2012,3,137.55311584472656,98.74810791015625
2012,4,136.59669494628906,96.96967315673828
2012,5,158.5619659423828,135.8798370361328
2012,6,194.61058044433594,197.46096801757812
2012,7,184.87969970703125,180.8035430908203
2012,8,152.35345458984375,142.95529174804688
2012,9,175.2770538330078,182.10719299316406
2012,10,165.94448852539062,166.12840270996094
2012,11,187.4906463623047,205.8646697998047
2012,12,192.82516479492188,214.9519500732422
2013,1,157.53330993652344,199.35894775390625
2013,2,114.65411376953125,128.5625
2013,3,124.94081115722656,146.1158447265625
2013,4,118.71047973632812,135.44058227539062
2013,5,104.30455017089844,109.02803802490234
2013,6,114.61612701416016,126.6258544921875
2013,7,94.03990936279297,91.43748474121094
2013,8,102.77067565917969,108.75836944580078
2013,9,144.4017791748047,179.8897247314453
2013,10,171.02224731445312,225.37330627441406
2013,11,89.90614318847656,89.91516876220703
2013,12,104.60211944580078,115.02074432373047
2014,1,93.50074005126953,107.70513916015625
2014,2,88.98533630371094,93.3692855834961
2014,3,93.46759796142578,101.01873016357422
2014,4,91.1180191040039,96.9934310913086
2014,5,90.392242431640625,102.01504516601562
2014,6,81.00762176513672,85.96846771240234
2014,7,76.64490509033203,78.5060043334961
2014,8,71.26214599609375,63.87733459472656
2014,9,84.33692169189453,86.21659088134766
2014,10,100.20664978027344,113.33457946777344
2014,11,88.5600357055664,93.18595123291016
2014,12,85.1875,87.41532135009766
2015,1,117.1606216430664,120.54422760009766
2015,2,100.31974029541016,87.609466552734375
2015,3,105.21814727783203,95.97896575927734
2015,4,109.64379119873047,103.54495239257812
2015,5,101.01895141601562,102.3187026977539
2015,6,108.95279693603516,115.88028717041016
2015,7,98.9184341430664,98.73478698730469
2015,8,129.6953125,156.5036163330078
2015,9,138.7216796875,171.93267822265625
2015,10,102.89401245117188,110.7019271850586
2015,11,92.100433349609375,89.58369445800781
2015,12,99.34261322021484,101.96343231201172
2016,1,119.01518249511719,154.85731506347656
2016,2,114.62455749511719,148.32177734375
2016,3,104.19081115722656,130.4901580810547
2016,4,84.2513427734375,96.41341400146484
2016,5,82.04126739501953,96.22233581542969
2016,6,162.62911987304688,233.95611572265625
2016,7,121.96464538574219,164.45838928222656
2016,8,91.82890319824219,106.88562774658203
2016,9,79.8089599609375,86.3435287475586
2016,10,92.51783752441406,108.06412506103516
2016,11,169.37782287597656,254.101318359375
2016,12,115.15204620361328,161.42477416992188
2017,1,134.86953735351562,195.04063415527344
2017,2,133.3314666748047,177.7777099609375
2017,3,119.77616882324219,154.60968017578125
2017,4,121.57059478759766,157.67654418945312
2017,5,104.17097473144531,129.8880615234375
2017,6,98.75895690917969,120.63846588134766
2017,7,110.75359344482422,141.13832092285156
2017,8,109.17826080322266,137.85971069335938
2017,9,96.750762939453125,116.6200180053711
2017,10,102.16057586669922,125.86585235595703
2017,11,94.4896011352539,111.28268432617188
2017,12,111.49722290039062,140.3501739501953
2018,1,123.65155792236328,160.9672088623047
2018,2,94.0074234008789,114.75556182861328
2018,3,136.33432006835938,187.0958709716797
2018,4,108.21373748779297,139.03536987304688
2018,5,124.9366455078125,162.2766876220703
2018,6,108.62739562988281,134.40277099609375
2018,7,133.0862579345703,176.20509338378906
2018,8,99.1356201171875,114.96138000488281
2018,9,102.66020202636719,120.98519134521484
2018,10,111.51255798339844,136.11465454101562
2018,11,130.22386169433594,164.94219970703125
2018,12,166.28680419921875,226.57688903808594
2019,1,201.03199768066406,284.13592529296875
2019,2,106.9006576538086,123.6392822265625
2019,3,140.24737548828125,180.63168334960938
2019,4,98.7366943359375,109.68636322021484
2019,5,122.53876495361328,160.858154296875
2019,6,150.2007598876953,208.1348876953125
2019,7,149.972900390625,207.74546813964844
2019,8,190.47311401367188,282.5398254394531
2019,9,138.67945861816406,194.0199737548828
