Date,NAM
1998-12-31,68.90713543226464
1999-01-31,69.6595335405679
1999-02-28,70.96326214649123
1999-03-31,71.61774086271102
1999-04-30,73.3585269617476
1999-05-31,71.16933015005921
1999-06-30,67.13311990120326
1999-07-31,63.84114619355311
1999-08-31,64.27905839155864
1999-09-30,68.70898949643981
1999-10-31,78.46038372330199
1999-11-30,82.86143887483014
1999-12-31,93.45937892263436
2000-01-31,107.8113987060203
2000-02-29,116.29472486838415
2000-03-31,125.37880693223151
2000-04-30,141.7532543348831
2000-05-31,151.63450970703934
2000-06-30,151.24961997983524
2000-07-31,142.42652683404785
