Date,GPR,GPT,GPA
1990-12-01T00:00:00Z,156.11074282892397,178.40147872889497,44.08575429931402
1991-01-01T00:00:00Z,332.1564405116931,336.579198699724,348.6955798389807
1991-02-01T00:00:00Z,137.93463635128526,104.33806775216277,319.62626666208587
1991-03-01T00:00:00Z,73.78062368706185,62.5996785679502,132.98358345679713
1991-04-01T00:00:00Z,34.323022419058745,34.855816812971,28.65708991367539
1991-05-01T00:00:00Z,38.554493086652336,37.63832468612486,39.35042684429769
1991-06-01T00:00:00Z,36.51166463413946,35.1269367168114,39.7099918865677
1991-07-01T00:00:00Z,62.65331248299785,67.3382219866834,42.07895048247217
1991-08-01T00:00:00Z,50.013983669104014,55.39211023821588,25.45881121344452
1991-09-01T00:00:00Z,61.661216774620144,70.86976571083284,14.256660290133205
1991-10-01T00:00:00Z,41.547578856947695,44.96372121181946,21.58839201250548
1991-11-01T00:00:00Z,35.22176382762537,34.622607434218125,43.53079444363451
1991-12-01T00:00:00Z,44.13844891212207,46.98126576437328,28.428853762521555
1992-01-01T00:00:00Z,47.24826295926739,50.304024942966464,28.470033547756437
1992-02-01T00:00:00Z,41.08085959978225,40.375475580481016,42.41600910974227
1992-03-01T00:00:00Z,36.52230646307619,36.056183939169735,41.80920502969797
1992-04-01T00:00:00Z,31.651284803586993,32.63362109326688,27.31917760466025
1992-05-01T00:00:00Z,35.686472421976625,35.610163200254085,35.754559248743206
1992-06-01T00:00:00Z,47.005402631108105,51.72629108089502,21.945194950691885
1992-07-01T00:00:00Z,52.69184984905829,54.803608252613124,59.08841171873791
1992-08-01T00:00:00Z,54.26185622989329,52.0167463286637,64.6289512081106
1992-09-01T00:00:00Z,33.96715087388601,33.4656618584201,36.38747508894504
1992-10-01T00:00:00Z,29.560358300352537,32.43323421093526,13.26856923565325
1992-11-01T00:00:00Z,32.93620366238048,32.33540630675621,34.31623190402146
1992-12-01T00:00:00Z,53.89470723902331,60.08224618647077,19.70180289713146
1993-01-01T00:00:00Z,84.51215657185756,78.0812136701717,141.39796080418847
